id,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,airbnb_name,star,bedrooms,beds,baths
2708,3008,Chas.,Hollywood,Private room,94,30,40,271,Rental unit in Los Angeles,4.85,1,1,1
63416,309512,Vincenzo,Hollywood Hills,Private room,220,2,161,0,Home in Hollywood,4.99,1,2,1
5728,9171,Sanni,Del Rey,Private room,55,30,316,120,Tiny home in Los Angeles,4.78,1,1,1
5843,9171,Sanni,Del Rey,Private room,60,30,128,179,Home in Los Angeles,4.63,1,1,1
6033,11619,Sarah,Woodland Hills,Entire home/apt,89,30,20,0,Bungalow in Woodland Hills,4.38,1,1,1
69838,351521,Georgia,Mid-City,Private room,96,2,726,286,Home in Los Angeles,4.80,1,2,1
6931,3008,Chas.,Hollywood,Private room,109,30,32,194,Rental unit in Los Angeles,4.83,1,1,1
7992,22363,Tom,Atwater Village,Entire home/apt,150,30,292,229,Guesthouse in Los Angeles,4.95,1,2,1
72186,230943,Deirdre,Harvard Heights,Private room,47,30,57,147,Home in Los Angeles,4.89,1,1,1.5
9376,30319,Cristina,Venice,Private room,90,30,55,365,Rental unit in Los Angeles,4.70,1,1,1
10760,38596,Debra,Mid-Wilshire,Private room,74,30,40,87,Rental unit in Los Angeles,4.97,1,2,2
74770,394279,Zeev,Encino,Entire home/apt,119,2,220,134,Guesthouse in Encino,4.91,0,2,1
11877,30484,Pascalou,Venice,Entire home/apt,80,30,46,80,Bungalow in Venice,4.82,0,2,1
14098,55411,Hank,Hollywood Hills,Entire home/apt,296,4,43,88,Rental unit in Los Angeles,4.95,1,1,1
14107,55422,Jane,Venice,Entire home/apt,356,31,29,365,Home in Los Angeles,4.78,3,4,2
79502,428171,H.,Silver Lake,Entire home/apt,113,30,299,239,Vacation home in Los Angeles,4.82,1,1,1
15089,59169,Josh,Mid-City,Entire home/apt,60,30,90,321,Bungalow in Los Angeles,4.78,1,1,1
15333,60057,Georgia,Valley Village,Entire home/apt,518,2,10,352,Vacation home in N Hollywood,5.0,2,10,1
80714,436647,Cari,Mid-Wilshire,Entire home/apt,111,30,192,309,Rental unit in Los Angeles,4.95,1,3,1
80734,436865,Jamie,Hollywood Hills,Entire home/apt,115,31,119,265,Rental unit in Los Angeles,4.82,1,1,1
17860,55422,Jane,Venice,Entire home/apt,200,31,63,248,Guesthouse in Venice,4.64,0,,1
18041,69546,Lisa,Venice,Entire home/apt,219,31,4,0,Home in Los Angeles,5.0,3,3,2
